Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
XA,SA67,-21.8859,27.2736,1,80,1,1
XA,SA68,-21.9504,28.1878,1,80,1,1
XA,SA69,-22.3048,29.2661,1,0,1,0
XA,SA70,-21.0883,26.3352,1,80,1,1
XA,SA71,-20.9258,27.1408,1,80,1,1
XA,SA72,-20.143,28.6113,1,113,1,1
XA,SA73,-21.8537,30.2776,1,80,1,1
XA,SA74,-21.923,30.9357,1,84,1,1
XA,SA75,-20.8601,28.9991,1,87,1,1
XA,SA76,-20.6361,29.8464,1,119,1,1
XA,SA77,-20.7557,30.9191,1,87,1,1
XA,SA78,-19.4671,30.7723,1,119,1,1
XA,SA79,-20.0211,30.5173,1,87,1,1
XA,SA80,-19.9593,31.3179,1,80,1,1
XA,SA81,-30.9251,21.2681,1,113,1,1
XA,SA82,-30.9771,22.2466,1,119,1,1
XB,CM01,2.389,9.834,0,64,1,1
XB,CM02,2.698,13.289,1,147,1,1
XB,CM03,3.519,15.034,1,148,1,1
XB,CM04,2.979,11.959,1,147,1,1
XB,CM05,2.942,9.914,0,64,1,1
XB,CM06,2.385,11.268,1,155,1,1
XB,CM07,3.87,11.456,1,153,1,1
XB,CM08,3.909,9.863,1,136,1,1
XB,CM09,4.234,9.328,0,65,1,1
XB,CM10,4.223,10.619,1,149,1,1
XB,CM11,3.98,13.188,1,150,1,1
XB,CM12,4.481,11.634,1,151,1,1
XB,CM13,4.588,9.462,1,148,1,1
XB,CM14,4.422,14.358,1,150,1,1
XB,CM15,5.034,9.933,1,150,1,1
XB,CM16,5.48,10.572,1,149,1,1
XB,CM17,5.546,12.312,1,151,1,1
XB,CM18,5.723,9.355,1,162,1,1
XB,CM19,5.975,11.232,1,150,1,1
XB,CM20,6.225,10.054,1,150,1,1
XB,CM21,6.467,12.62,1,150,1,1
XB,CM22,6.477,13.268,1,150,1,1
XB,CM23,6.37,10.793,1,149,1,1
XB,CM24,6.523,14.288,1,153,1,1
